RunId;Time;CP;VM;Label;Status;Value;Detail
20260919-050000;2026-09-19T05:29:58;CP23;SRV-FILE01;Ping from this host;SKIP;;--ping-check not enabled
20260919-050000;2026-09-19T05:30:00;CP30;SRV-FILE01;Application: systemd up;OK;;exit 0: running
20260919-050000;2026-09-19T05:30:02;CP30;SRV-FILE01;Application: SMB server;OK;;exit 0: Running
20260919-050000;2026-09-19T05:30:49;CP40;SRV-FILE01;Test VM destroyed, overlays removed, disks unpublished;OK;;VM 9901, publish m-rp-srv-file01
20260919-050000;2026-09-19T05:30:51;CP13;SRV-WEB01;Time to boot <= 10 min;OK;4.5;4.5 min
20260919-050000;2026-09-19T05:30:53;CP20;SRV-WEB01;Test VM running;OK;;status = running
20260919-050000;2026-09-19T05:30:55;CP21;SRV-WEB01;NICs only on the isolated bridge / VLAN;OK;;
20260919-050000;2026-09-19T05:30:57;CP22;SRV-WEB01;IP address reported (QEMU guest agent);OK;;10.99.0.23
20260919-050000;2026-09-19T05:30:59;CP23;SRV-WEB01;Ping from this host;SKIP;;--ping-check not enabled
20260919-050000;2026-09-19T05:31:01;CP30;SRV-WEB01;Application: systemd up;OK;;exit 0: running
20260919-050000;2026-09-19T05:31:03;CP30;SRV-WEB01;Application: Health endpoint;KO;;exit 0: 503
20260919-050000;2026-09-19T05:31:50;CP40;SRV-WEB01;Test VM destroyed, overlays removed, disks unpublished;OK;;VM 9902, publish m-rp-srv-web01
20260919-050000;2026-09-19T05:31:54;CP13;SRV-SQL01;Time to boot <= 10 min;WARN;17.8;17.8 min - RTO target exceeded
20260919-050000;2026-09-19T05:31:56;CP20;SRV-SQL01;Test VM running;OK;;status = running
20260919-050000;2026-09-19T05:31:58;CP21;SRV-SQL01;NICs only on the isolated bridge / VLAN;OK;;
20260919-050000;2026-09-19T05:32:00;CP22;SRV-SQL01;IP address reported (QEMU guest agent);WARN;;no IP - guest agent missing / not started, or OS not booted
20260919-050000;2026-09-19T05:32:02;CP23;SRV-SQL01;Ping from this host;SKIP;;--ping-check not enabled
20260919-050000;2026-09-19T05:32:04;CP30;SRV-SQL01;Application: systemd up;OK;;exit 0: running
20260919-050000;2026-09-19T05:32:06;CP30;SRV-SQL01;Application: SQL Server service;KO;;exit 0: running
20260919-050000;2026-09-19T05:32:53;CP40;SRV-SQL01;Test VM destroyed, overlays removed, disks unpublished;OK;;VM 9903, publish m-rp-srv-sql01
