RunId;Time;CP;VM;Label;Status;Value;Detail
20260919-050000;2026-09-19T05:18:46;CP30;SRV-OLD01;Contrôle post-démarrage;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:18:48;CP40;SRV-OLD01;Contrôle post-démarrage;SKIP;;pas de point de restauration
20260919-050000;2026-09-19T05:28:47;CP13;SRV-AD01;Délai de démarrage <= 10 min;OK;9.0;9.0 min
20260919-050000;2026-09-19T05:28:49;CP20;SRV-AD01;VM de test démarrée;OK;;statut = running
20260919-050000;2026-09-19T05:28:51;CP21;SRV-AD01;Cartes réseau sur le bridge / VLAN isolé uniquement;OK;;
20260919-050000;2026-09-19T05:28:53;CP22;SRV-AD01;Adresse IP remontée (QEMU guest agent);OK;;10.99.0.21
20260919-050000;2026-09-19T05:28:55;CP23;SRV-AD01;Ping depuis cet hôte;SKIP;;option --ping-check non activée
20260919-050000;2026-09-19T05:28:57;CP30;SRV-AD01;Applicatif : systemd up;OK;;exit 0: running
20260919-050000;2026-09-19T05:28:59;CP30;SRV-AD01;Applicatif : AD DS, DNS, KDC running;OK;;exit 0: 0
20260919-050000;2026-09-19T05:29:01;CP30;SRV-AD01;Applicatif : DNS zone answers;OK;;exit 0: 3
20260919-050000;2026-09-19T05:29:48;CP40;SRV-AD01;VM de test détruite, overlays supprimés, disques dépubliés;OK;;VM 9900, publish m-rp-srv-ad01
20260919-050000;2026-09-19T05:29:50;CP13;SRV-FILE01;Délai de démarrage <= 10 min;OK;4.5;4.5 min
20260919-050000;2026-09-19T05:29:52;CP20;SRV-FILE01;VM de test démarrée;OK;;statut = running
20260919-050000;2026-09-19T05:29:54;CP21;SRV-FILE01;Cartes réseau sur le bridge / VLAN isolé uniquement;OK;;
20260919-050000;2026-09-19T05:29:56;CP22;SRV-FILE01;Adresse IP remontée (QEMU guest agent);OK;;10.99.0.22
20260919-050000;2026-09-19T05:29:58;CP23;SRV-FILE01;Ping depuis cet hôte;SKIP;;option --ping-check non activée
20260919-050000;2026-09-19T05:30:00;CP30;SRV-FILE01;Applicatif : systemd up;OK;;exit 0: running
20260919-050000;2026-09-19T05:30:02;CP30;SRV-FILE01;Applicatif : SMB server;OK;;exit 0: Running
20260919-050000;2026-09-19T05:30:49;CP40;SRV-FILE01;VM de test détruite, overlays supprimés, disques dépubliés;OK;;VM 9901, publish m-rp-srv-file01
20260919-050000;2026-09-19T05:30:51;CP13;SRV-WEB01;Délai de démarrage <= 10 min;OK;4.5;4.5 min
20260919-050000;2026-09-19T05:30:53;CP20;SRV-WEB01;VM de test démarrée;OK;;statut = running
20260919-050000;2026-09-19T05:30:55;CP21;SRV-WEB01;Cartes réseau sur le bridge / VLAN isolé uniquement;OK;;
20260919-050000;2026-09-19T05:30:57;CP22;SRV-WEB01;Adresse IP remontée (QEMU guest agent);OK;;10.99.0.23
20260919-050000;2026-09-19T05:30:59;CP23;SRV-WEB01;Ping depuis cet hôte;SKIP;;option --ping-check non activée
20260919-050000;2026-09-19T05:31:01;CP30;SRV-WEB01;Applicatif : systemd up;OK;;exit 0: running
20260919-050000;2026-09-19T05:31:03;CP30;SRV-WEB01;Applicatif : Health endpoint;KO;;exit 0: 503
20260919-050000;2026-09-19T05:31:50;CP40;SRV-WEB01;VM de test détruite, overlays supprimés, disques dépubliés;OK;;VM 9902, publish m-rp-srv-web01
20260919-050000;2026-09-19T05:31:54;CP13;SRV-SQL01;Délai de démarrage <= 10 min;WARN;17.8;17.8 min - RTO cible dépassé
20260919-050000;2026-09-19T05:31:56;CP20;SRV-SQL01;VM de test démarrée;OK;;statut = running
20260919-050000;2026-09-19T05:31:58;CP21;SRV-SQL01;Cartes réseau sur le bridge / VLAN isolé uniquement;OK;;
20260919-050000;2026-09-19T05:32:00;CP22;SRV-SQL01;Adresse IP remontée (QEMU guest agent);WARN;;aucune IP - guest agent absent / non démarré, ou OS non démarré
20260919-050000;2026-09-19T05:32:02;CP23;SRV-SQL01;Ping depuis cet hôte;SKIP;;option --ping-check non activée
20260919-050000;2026-09-19T05:32:04;CP30;SRV-SQL01;Applicatif : systemd up;OK;;exit 0: running
20260919-050000;2026-09-19T05:32:06;CP30;SRV-SQL01;Applicatif : SQL Server service;KO;;exit 0: running
20260919-050000;2026-09-19T05:32:53;CP40;SRV-SQL01;VM de test détruite, overlays supprimés, disques dépubliés;OK;;VM 9903, publish m-rp-srv-sql01
